Date,Symbol,Maturity,Strike,Bid Price,Bid Size ,Ask Price,Ask Size ,Undl Price
4/11/2024,SPY,4/12/2024,518,1.74,13,1.76,592,518
4/11/2024,SPY,4/12/2024,519,1.24,54,1.25,1619,518
4/11/2024,SPY,4/12/2024,520,0.84,94,0.85,2646,518
4/11/2024,SPY,4/12/2024,521,0.54,479,0.55,3311,518
4/11/2024,SPY,4/12/2024,522,0.33,1207,0.34,3614,518
4/11/2024,SPY,4/12/2024,523,0.19,1936,0.2,3917,518
4/11/2024,SPY,4/12/2024,524,0.1,2469,0.12,6086,518
4/11/2024,SPY,4/12/2024,525,0.05,3002,0.06,8254,518
4/11/2024,SPY,4/12/2024,526,0.03,3269,0.04,9338,518
4/11/2024,SPY,4/12/2024,527,0.02,4546,0.03,11227,518
4/11/2024,SPY,4/12/2024,528,0.02,5823,0.03,13117,518
4/11/2024,SPY,4/12/2024,529,0.01,8826,0.02,13513,518
4/11/2024,SPY,4/12/2024,530,0.01,13554,0.02,12416,518
4/11/2024,SPY,4/12/2024,531,0,0,0.01,11319,518
4/11/2024,SPY,4/12/2024,532,0,0,0.01,14241,518
4/11/2024,SPY,4/12/2024,533,0,0,0.01,17163,518
4/11/2024,SPY,4/12/2024,534,0,0,0.01,18141,518
4/11/2024,SPY,4/12/2024,535,0,0,0.01,17175,518
4/11/2024,SPY,4/12/2024,536,0,0,0.01,16209,518
4/11/2024,SPY,4/12/2024,537,0,0,0.01,15349,518
4/11/2024,SPY,4/12/2024,538,0,0,0.01,14490,518
4/11/2024,SPY,4/12/2024,539,0,0,0.01,13631,518
4/11/2024,SPY,4/12/2024,540,0,0,0.01,13201,518
4/11/2024,SPY,4/12/2024,545,0,0,0.01,14561,518
4/11/2024,SPY,4/12/2024,550,0,0,0.01,18646,518
4/11/2024,SPY,4/12/2024,555,0,0,0.01,16152,518
4/11/2024,SPY,4/12/2024,560,0,0,0.01,18519,518
4/11/2024,SPY,4/12/2024,565,0,0,0.01,25916,518
4/11/2024,SPY,4/12/2024,570,0,0,0.01,21423,518
4/11/2024,SPY,4/12/2024,575,0,0,0.01,14202,518
4/11/2024,SPY,4/12/2024,580,0,0,0.01,17463,518
4/11/2024,SPY,4/12/2024,585,0,0,0.01,28648,518
4/11/2024,SPY,4/12/2024,590,0,0,0.01,31778,518
4/11/2024,SPY,4/12/2024,595,0,0,0.01,33624,518
4/11/2024,SPY,4/12/2024,600,0,0,0.01,55938,518
4/11/2024,SPY,4/15/2024,518,2.57,369,2.59,1772,518
4/11/2024,SPY,4/15/2024,519,2.04,596,2.06,1477,518
4/11/2024,SPY,4/15/2024,520,1.57,824,1.59,1182,518
4/11/2024,SPY,4/15/2024,521,1.17,907,1.19,1094,518
4/11/2024,SPY,4/15/2024,522,0.85,846,0.87,1214,518
4/11/2024,SPY,4/15/2024,523,0.6,785,0.61,1334,518
4/11/2024,SPY,4/15/2024,524,0.41,1289,0.42,1718,518
4/11/2024,SPY,4/15/2024,525,0.28,1794,0.29,2102,518
4/11/2024,SPY,4/15/2024,526,0.18,2046,0.19,2294,518
4/11/2024,SPY,4/15/2024,527,0.1,2282,0.12,2522,518
4/11/2024,SPY,4/15/2024,528,0.07,2518,0.08,2749,518
4/11/2024,SPY,4/15/2024,529,0.04,2785,0.05,5770,518
4/11/2024,SPY,4/15/2024,530,0.03,3083,0.04,11583,518
4/11/2024,SPY,4/15/2024,531,0.02,3382,0.03,17396,518
4/11/2024,SPY,4/15/2024,532,0.01,3435,0.02,15586,518
4/11/2024,SPY,4/15/2024,533,0.01,3488,0.02,13776,518
